WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
2-й Звенигородский переулок;2020;да;Центральный административный округ;Пресненский район;14.08.2020;08.10.2020;14.08.2020;08.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138031;{coordinates=[[[37.555009201, 55.764145825], [37.55523361, 55.764130143], [37.555469645, 55.764852984], [37.555888069, 55.765439715], [37.556891215, 55.766622223], [37.556703461, 55.766740169], [37.556193841, 55.766050631], [37.555839789, 55.765630249], [37.555249703, 55.764834837], [37.555008305, 55.76414829]]], type=MultiLineString};{coordinates=[37.555888069, 55.765439715], type=Point}
2-я Звенигородская улица;2020;да;Центральный административный округ;Пресненский район;28.08.2020;13.09.2020;28.08.2020;13.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138034;{coordinates=[[[37.555076618, 55.75643665], [37.555360933, 55.756475975], [37.555162449, 55.75778278], [37.555044432, 55.758992745], [37.555010206, 55.760671568], [37.555046082, 55.76205522], [37.555024188, 55.762303149], [37.555088561, 55.763921281], [37.554895442, 55.763969672], [37.554841798, 55.763664199], [37.554852527, 55.763171202], [37.554825705, 55.761005571], [37.554847163, 55.759759371], [37.554852527, 55.758797471], [37.554986637, 55.757620774], [37.555142206, 55.756447067]]], type=MultiLineString};{coordinates=[37.554847163, 55.759759371], type=Point}
2-я Черногрязская улица;2020;да;Центральный административный округ;Пресненский район;14.08.2020;02.10.2020;14.08.2020;02.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138035;{coordinates=[[[37.547976298, 55.76482853], [37.548201604, 55.764801311], [37.547960205, 55.764368817], [37.547740264, 55.763881878], [37.547257466, 55.762548058], [37.546701192, 55.761068673], [37.546432971, 55.760403233], [37.546289349, 55.760426327], [37.546412731, 55.760722752], [37.546635354, 55.7613897], [37.546737278, 55.761693679], [37.54713471, 55.762741806], [37.547630919, 55.763968252], [37.547942055, 55.76478334], [37.547969073, 55.764824498]]], type=MultiLineString};{coordinates=[37.547257466, 55.762548058], type=Point}
Бахрушина ул.;2020;да;Центральный административный округ;район Замоскворечье;21.03.2020;03.06.2020;21.03.2020;03.06.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138040;{coordinates=[[[37.637720128, 55.731480493], [37.637988349, 55.731583411], [37.637473923, 55.732245021], [37.637028118, 55.732903161], [37.636223455, 55.734129035], [37.634887376, 55.73607888], [37.634418723, 55.736813639], [37.634023845, 55.737432723], [37.633857548, 55.737363112], [37.634136498, 55.736903074], [37.634699762, 55.736140367], [37.635075271, 55.735604647], [37.635806609, 55.734396363], [37.636316229, 55.7336215], [37.637741268, 55.731507124]]], type=MultiLineString};{coordinates=[37.635806609, 55.734396363], type=Point}
Библиотечная ул. (от ул. Б.Андроньевская до ул. Добровольческая);2020;да;Центральный административный округ;Таганский район;08.03.2020;20.03.2020;08.03.2020;20.03.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138042;{coordinates=[[[37.668564862, 55.744265971], [37.668583637, 55.744228146], [37.670557743, 55.744371881], [37.670530921, 55.744458122], [37.66860947, 55.744302349], [37.668556815, 55.74430077]]], type=MultiLineString};{coordinates=[37.66860947, 55.744302349], type=Point}
Большая Татарская ул.;2020;да;Центральный административный округ;район Замоскворечье;25.03.2020;16.07.2020;25.03.2020;16.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138044;{coordinates=[[[37.630953401, 55.743537101], [37.631141156, 55.743561309], [37.631189436, 55.743189101], [37.631253809, 55.742623217], [37.631333659, 55.742351625], [37.631875466, 55.741643497], [37.632358074, 55.741045994], [37.633015157, 55.740238282], [37.633674981, 55.73944235], [37.634372355, 55.738451787], [37.634999992, 55.737686084], [37.635767104, 55.736753903], [37.636422157, 55.736012509], [37.636245131, 55.735977703], [37.635722101, 55.736596649], [37.635477949, 55.736847012], [37.635064945, 55.737351781], [37.63421581, 55.738392508], [37.633875169, 55.738896412], [37.633068272, 55.740013235], [37.632057078, 55.741187062], [37.631346044, 55.742141162], [37.631131467, 55.742457396], [37.631034907, 55.743014204], [37.630995962, 55.743557084]]], type=MultiLineString};{coordinates=[37.633674981, 55.73944235], type=Point}
Бронная Большая улица на всем протяжении;2020;да;Центральный административный округ;[Пресненский район, Тверской район];29.08.2020;06.09.2020;29.08.2020;06.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138049;{coordinates=[[[37.604205847, 55.765233224], [37.604165614, 55.765193908], [37.603975177, 55.765030591], [37.603364277, 55.764546013], [37.602679858, 55.764005025], [37.60254843, 55.763897656], [37.602411815, 55.763813033], [37.601851233, 55.763466727], [37.601464995, 55.763229302], [37.600928763, 55.762892301], [37.600437919, 55.762589844], [37.599947313, 55.762289495], [37.599893669, 55.762257737], [37.599829296, 55.762209343], [37.599775652, 55.762150363], [37.599287474, 55.761695126], [37.599029982, 55.761451641], [37.598483165, 55.760904729], [37.598221053, 55.760640905], [37.598124493, 55.760562261], [37.597998429, 55.760495717], [37.597848226, 55.760430685], [37.597555865, 55.760317256], [37.596872449, 55.76004015], [37.596830067, 55.760035713]]], type=MultiLineString};{coordinates=[37.600437919, 55.762589844], type=Point}
Вековая ул. (от ул. Б.Андроньевская до ул. Добровольческая);2020;да;Центральный административный округ;Таганский район;07.03.2020;15.03.2020;07.03.2020;15.03.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138053;{coordinates=[[[37.669101271, 55.743208127], [37.669122729, 55.743162735], [37.669287398, 55.743176603], [37.670820567, 55.74327924], [37.670796427, 55.743362457], [37.669960919, 55.74329664], [37.669098589, 55.743242927]]], type=MultiLineString};{coordinates=[37.669960919, 55.74329664], type=Point}
Кудринская площадь на всем протяжении;2020;да;Центральный административный округ;Пресненский район;13.07.2020;29.07.2020;13.07.2020;29.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031173553;{coordinates=[[[37.581833303, 55.759466284], [37.58130759, 55.758440018], [37.583976388, 55.758049125], [37.584287524, 55.758989375], [37.581849396, 55.759466284]]], type=MultiLineString};{coordinates=[37.583976388, 55.758049125], type=Point}
