"Ext_id";"Address";"global_id";"AdmArea";"District";"Event_type";"Name";"Requester";"TS_from";"TS_to";"Lanes_closed";"Descr";"Geometry_type";"Geometry_point";"Geometry_line";"geoData";"geodata_center";
"Идентификатор";"Местоположение";"global_id";"Административный округ";"Район";"Тип события";"Наименование события";"Инициатор";"Дата и время начала перекрытия";"Дата и время окончания перекрытия";"Количество перекрытых полос";"Дополнительная информация";"Тип геометрии";"Координаты для точечных объектов";"Координаты для линейных объектов";"geoData";"geodata_center";
"20759";"Фрунзенская наб., д.8";"2639121078";"Центральный административный округ";"район Хамовники";"Ремонтные работы";"Работы ДЖКХ";"";"19.02.2024";"20.05.2025";"1";"";"line";"";"37.595787444884735,55.73287012908498;37.59622943989959,55.73328964463284";"{coordinates=[[[37.595787445, 55.732870129], [37.59622944, 55.733289645]]], type=MultiLineString}";"";
"20890";"ул. Большая Академическая (ул. Валаамская - ул. Линии Октябрьской железной дороги)";"2639494326";"Северный административный округ";"Тимирязевский район";"Ремонтные работы";"Работы коммерческих организаций";"";"15.01.2024";"08.12.2024";"1";"";"line";"";"37.56010003387928,55.84447126979461;37.560007415255335,55.84443554074615";"{coordinates=[[[37.560100034, 55.84447127], [37.560007415, 55.844435541]]], type=MultiLineString}";"";
"20659";"ул. Новослободская (в сторону области) (ул. Палиха, влд.2/34 - ул. Новослободская, д.28)";"2639494348";"Центральный административный округ";"Тверской район";"Ремонтные работы";"Работы коммерческих организаций";"";"29.05.2024";"19.11.2024";"1";"";"line";"";"37.597433083289545,55.7834360473714;37.59722113609314,55.78368434403697";"{coordinates=[[[37.597433083, 55.783436047], [37.597221136, 55.783684344]]], type=MultiLineString}";"";
"20301";"ул. Маршала Тухачевского, д.15 - д.14, к.1";"2639494385";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Ремонтные работы";"Работы ДЖКХ";"";"07.02.2024";"30.06.2024";"1";"";"line";"";"37.48624339699745,55.78197922246133;37.48678117990494,55.781894756294946;37.4871372480092,55.7818193663786;37.48697564005852,55.78185704812583";"{coordinates=[[[37.486243397, 55.781979222], [37.48678118, 55.781894756], [37.487137248, 55.781819366], [37.48697564, 55.781857048]]], type=MultiLineString}";"";
"20292";"Зелёный пр-кт, д.76";"2639494387";"Восточный административный округ";"район Новогиреево";"Ремонтные работы";"Работы ДЖКХ";"";"19.10.2023";"30.11.2024";"1";"";"line";"";"37.82988150918291,55.74968833030943;37.830577343702316,55.749576790019546;37.83059890096344,55.74956961668961;37.83007778227329,55.749660571443485;37.830283641815186,55.74963000256642";"{coordinates=[[[37.829881509, 55.74968833], [37.830577344, 55.74957679], [37.830598901, 55.749569617], [37.830077782, 55.749660571], [37.830283642, 55.749630003]]], type=MultiLineString}";"";
"20128";"Савеловская линия, д.7 - д.9";"2639494411";"Северо-Восточный административный округ";"Бутырский район";"Ремонтные работы";"Работы коммерческих организаций";"";"29.11.2023";"28.10.2025";"2";"";"line";"";"37.58645609021187,55.80569113353798;37.58642932813777,55.80577084697984";"{coordinates=[[[37.58645609, 55.805691134], [37.586429328, 55.805770847]]], type=MultiLineString}";"";
"20078";"Чечерский пр-д, д.28 - д.26";"2639494416";"Юго-Западный административный округ";"район Южное Бутово";"Ремонтные работы";"Работы коммерческих организаций";"";"29.11.2023";"01.03.2025";"1";"";"line";"";"37.53808333685881,55.53689577880888;37.53847002983093,55.53678954522627";"{coordinates=[[[37.538083337, 55.536895779], [37.53847003, 55.536789545]]], type=MultiLineString}";"";
"19825";"Нижний Кисловский пер. (Никитский б-р, д.8А - ул. Воздвиженка)";"2639494433";"Центральный административный округ";"район Арбат";"Ремонтные работы";"Работы коммерческих организаций";"";"24.10.2023";"30.12.2026";"1";"";"line";"";"37.60227173566818,55.75359734070258;37.60234225524958,55.75363266478205";"{coordinates=[[[37.602271736, 55.753597341], [37.602342255, 55.753632665]]], type=MultiLineString}";"";
"19817";"ул. Мясищева (Филевский б-р, д.42 - д.39)";"2639494435";"Западный административный округ";"район Филёвский Парк";"Ремонтные работы";"Работы Департамента строительства";"";"18.09.2023";"21.12.2024";"2";"";"line";"";"37.479076056809596,55.762065317856724;37.479354813694954,55.76205446567769;37.47917175292969,55.762035601998576";"{coordinates=[[[37.479076057, 55.762065318], [37.479354814, 55.762054466], [37.479171753, 55.762035602]]], type=MultiLineString}";"";
"19770";"дублер Ленинского пр-кт (Ленинский пр-кт, д.67 - д.69)";"2639494446";"Юго-Западный административный округ";"Гагаринский район";"Ремонтные работы";"Работы Департамента строительства";"";"01.10.2023";"06.01.2025";"1";"";"line";"";"37.55102477967739,55.69082289436395;37.55079922276769,55.690695969920704;37.55109786987305,55.69086484816589";"{coordinates=[[[37.55102478, 55.690822894], [37.550799223, 55.69069597], [37.55109787, 55.690864848]]], type=MultiLineString}";"";
"19333";"Брюсов пер. (д.2/14, стр.9 - д.2/14, стр.1)";"2639494466";"Центральный административный округ";"Пресненский район";"Ремонтные работы";"Работы коммерческих организаций";"";"07.08.2023";"17.11.2025";"1";"";"line";"";"37.60575860738754,55.75787367401671;37.605312155615316,55.75747830527747;37.605578899383545,55.757721238886944";"{coordinates=[[[37.605758607, 55.757873674], [37.605312156, 55.757478305], [37.605578899, 55.757721239]]], type=MultiLineString}";"";
